KEYS,en,fr,tt
MMSINGLEPLAYER,Single Player,Un Joueur,SP NYT
MMTWOPLAYERS,Two Players,Deux Joueurs,2P NYT
MMTOURNAMENT,Tournament,Tournoi,Tour NYT
MMENHANCED,Enhanced,Etendu,Enh NYT
MMSETTINGS,Settings,Réglages,Sett NYT
MMHIGHSCORES,High Scores,Top Scores,HS NYT
MMHELP, Help, Aide,Help NYT
MMABOUT, About, A propos, Abo NYT
MMQUIT, Quit, Quitter, Quit NYT
SETTINGSPLAYERNAME1,Player 1 Name,Nom Joueur 1,P1N NYT
SETTINGSPLAYERNAME2,Player 2 Name,Nom Joueur 2,P2N NYT
SETTINGSACCEPT,Accept,Valider,ACC NYT
SETTINGSBACK,Back,Retour,BACK NYT
SETTINGSSUBMITCHANGES,Press Enter to submit change,Utilisez Entrée pour valider,PETSC NYT
SETTINGSHLNONE,None,Aucun,N NYT
SETTINGSHLFIRST,First,Premier,1 NYT
SETTINGSHLALL,All,Tous,A NYT
SETTINGSHLRANDOM,Random,Aléatoire,R NYT
SETTINGSHLBEST,Best Score,Meilleur Score,BS NYT
SETTINGSLANGUAGE,Language,Langage,LANG NYT
SETTINGSSAVEOK,Settings saved successfully,préférences sauvegardées,SETOK NYT
SETTINGSSAVEKO,An error occured when saving preferences !,une erreur s'est produite lors de la sauvegarde des réglages !, SETKO NYT
GAMEOVERTITLE,NO MORE MOVES!,AUCUN MOUVEMENT POSSIBLE !,NMO NYT
GAMEOVERTEXTB,"Sorry, but there are no more moves possible","Désolé, il n'y a plus de coup possible","SORRY NMMA NYT"
GAMEWINTITLE,[center][wave]You WIN![/wave][/center],[center][wave]Vous avez gagné ![/wave][/center],GWT WIN NYT
GAMEWINTEXT,[center][rainbow]CONGRATULATIONS[/rainbow][/center],[center][rainbow]FELICITATIONS[/rainbow][/center],GWTE CONG NYT
FINALSCORETEXT,Your final score is:,Votre score final est :,FST NYT 
FINALSCOREOK,  Ok  ,  Ok  , OK NYT 
FSPPALYERONEKEY, Player One: , Joueur 1 : , P1: NYT
FSPPALYERTWOKEY, Player Two: , Joueur 2 : , P2: NYT
ABOUTCLOSE,Close,Fermer,AC NYT
HIGHSCORES1P,OnePlayer,Un joueur,HS1P NYT
HIGHSCORES2P,TwoPlayers,Deux joueurs,HS2P NYT
HIGHSCORESTOUR,Tournament,Tournoi,HSTO NYT
HIGHSCORESENH,Enhanced,étendu,HTEN NYT
HIGHSCORESCLOSEB, Close , Fermer ,HSCB NYT
HELPCLOSEB,  Close  ,  Fermer  ,HPCBT NYT
DDTILESINDECK,Tiles in deck: ,Pièces restantes : ,DDTID NYT 
DDAVAILMOVES,Available moves:,Coups possibles : ,DDAM NYT
GAMETOURLABEL,Tournament (%d),Tournoi (%d),GTL NYT (%d)
GAMEPANELPLAYER,Player ---,Joueur ---,GPP NYT ---
GAMEQUITPTEXT,Do you really want to quit ?,Voulez-vous vraiment quitter ?,DYRWTQ NYT
GAMEQUITPYES, Yes , Oui ,GQPY NYT
GAMEQUITPNO, No , Non ,GQPN NYT
TOURPANELTEXT,Do you want to continue the current tournament or to start a new one ?,Voulez-vous continuer le tournoi en cours ou en démarrer un nouveau ?,TOUPTEXT NYT
TOURPANELYBUTTON,Continue,Continuer,TOUPYB NYT
TOURPANELNBUTTON, New , Nouveau ,TOUPNB NYT
TOURPANELCBUTTON, Cancel , Annuler ,TOUPCB NYT
TOURSEEDPTEXT,Enter a custom seed or go back to use a random one.,Entrez une valeur définie ou retour pour utiliser une source aléatoire.,TST NYT
TOURSEEDPINPUT,Enter a new seed,Entrez une nouvelle valeur,TSI NYT
TOURSEEDPOKB, Use mine , Définir , TSOK NYT
TOURSEEDPRANDB, Random , Aléatoire , TSRAND NYT
TOURSEEDPCANB, Cancel , Annuler , TSCAN NYT